name,wmc,dit,noc,cbo,rfc,npm,bug
apache.tools.ant.taskdefs.Property,35,3,0,13,93,25,1
apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream,2,3,0,3,4,1,0
apache.tools.ant.filters.BaseFilterReader,10,3,6,9,20,5,0
apache.tools.ant.types.DirSet,7,4,0,9,22,6,0
apache.tools.ant.taskdefs.PreSetDef,4,4,0,10,20,4,0
apache.tools.ant.types.resources.comparators.DelegatedResourceComparator,6,4,0,7,27,4,0
apache.tools.ant.util.DeweyDecimal,10,1,1,4,23,10,0
apache.tools.ant.taskdefs.Untar,6,4,0,9,32,3,2
apache.tools.ant.ComponentHelper,39,1,0,26,154,26,0
apache.tools.ant.RuntimeConfigurable,25,1,0,20,71,22,1
apache.tools.mail.SmtpResponseReader,5,1,0,1,19,3,0
apache.tools.ant.taskdefs.VerifyJar,4,4,0,9,36,3,1
apache.tools.ant.ProjectHelper,18,1,2,24,68,17,1
apache.tools.ant.filters.FixCrLfFilter,18,5,0,14,44,16,0
apache.tools.ant.taskdefs.AbstractJarSignerTask,24,3,2,14,65,13,0
apache.tools.ant.taskdefs.ManifestClassPath,6,3,0,6,33,6,2
apache.tools.ant.taskdefs.Javadoc,92,3,0,34,261,81,4
apache.tools.ant.types.selectors.BaseSelector,6,3,6,10,10,6,0
apache.tools.ant.types.resources.selectors.ResourceSelectorContainer,7,3,5,9,26,6,0
apache.tools.ant.taskdefs.compilers.Gcj,5,2,0,8,34,3,1
